2011-10-07 11:04:08 Notice: Notice (8): Undefined index: q4_custom in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 13]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:07:52 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:08:43 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:08:43 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:08:44 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:08:44 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:08:44 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 18]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 21]
2011-10-07 11:08:45 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 24]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:11 Notice: Notice (8): Undefined index: q2__7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:56 Notice: Notice (8): Undefined index: q2_a1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:56 Notice: Notice (8): Undefined index: q2_a1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:56 Notice: Notice (8): Undefined index: q2_a1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:56 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:56 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:09:56 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:09:57 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:09:57 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
